ROI,N13_02,N13_04,N13_08,N13_09,N13_11,N13_13,N13_16,N14_01,N14_03,N14_04,N14_08,N14_11,N15_01,N15_02,N15_03,N15_04,N15_07,N15_09,N15_12,N15_13,N15_14,N15_15,N15_17,N15_18,N16_01,N16_02,N16_05,N16_07,N16_09,N16_11,N16_13,N16_16,N16_19,N17_03,N17_05,N17_06,N17_07
,A,G,G,G,G,G,G,G,G,G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
ABAT,279.12,98.7,461.48,48.77,235.68,48.87,135.88,495.79,190.95,19.49,955.17,393.57,37.55,11.37,604.62,434.2,753.74,621.44,686.49,1106.31,165.25,490,152.73,430.12,370.68,406.45,472.51,406.86,56.5,343.41,473.88,89.55,313.97,390.46,930.28,293.65,321
ACACA,245.47,107.04,361.41,100.01,155.14,401.54,249.26,277.4,241.33,40.75,339.74,257.13,52.4,188.17,411.8,248.7,340.27,192.71,252.72,402.23,113.36,201.59,275.38,252.29,189.61,294.3,200.31,215.85,90.32,294.17,245.96,171.26,217.15,238.39,389.86,149.77,304.15
ACACB,18.7,31.55,43.32,24.86,75.23,46.23,98.62,97.77,97.84,13.29,32.98,64.64,36.72,22.74,113.84,221.92,41.32,134.25,37.01,194.84,43.93,67.46,50.6,69.2,94.16,64.89,70.73,69.29,26.11,63.05,46.39,74.32,44.53,51.8,109.24,60.73,78.91
ACLY,752.85,643.37,1139.03,435.74,1394.97,2734.58,639.8,1157.35,897.48,596.21,822.5,1059.14,166.9,749.83,1283.99,747.37,1786.03,1568.21,1079.98,1286.88,971.49,1279.11,1419.8,1794.71,775.77,1722.86,972.85,927.78,786.35,1332.44,1651.58,414.6,494.34,1387.86,2044.91,1610.36,3069.82
ACO2,228.27,105.46,157.09,70.41,154.71,240.17,107.26,130.36,182.95,109.85,592.05,225.96,49.51,41.69,308.25,241.2,353.79,133.71,316.2,422.4,209.87,211.27,229.91,266.5,127.01,312.95,293.07,164.34,81.12,285.63,185.55,151.56,195.89,289.19,324.32,230.56,234.6
ACSS2,56.46,84.96,95.59,48.58,69.07,117.11,113.56,102.13,104.21,60.24,125,44.91,50.75,91.72,176.45,167.3,133.15,150.49,241.01,204.93,84.68,105.37,158.09,136.12,69.33,156.35,269.01,209.41,116.65,110.03,123.7,110.37,105.82,272.26,281.64,126.48,204.9
ACTB,16440.53,15832.92,14317.85,19037.56,12494.21,16356.97,18131.73,13210.67,11937.93,13816.69,10696.83,14715.54,10115.08,19856.65,15796.65,8897.7,11860.93,11719.65,16799.62,9882.26,11067.51,13732.44,12946.11,9339.6,12550.04,14223.07,13729.27,15290.64,8175.46,7905.7,10775.51,14548.55,14809.06,10030,11682.27,7926.5,15439.03
ADPGK,213.69,304.22,38.57,123.36,133.67,610.67,193.65,199.65,389,261.34,202.46,111.84,175.98,245.21,271.54,157.02,263.24,497.75,646.21,289.8,249.47,207.61,315.95,308.44,356.97,417.18,898.64,376.81,199.91,164.8,311.25,393.33,238.67,300.48,657.51,253.55,415.69
ALDOA,5421.04,13636.68,6076.11,16729.5,9959.88,10484.4,14865.33,9870.28,12327.88,14476.02,11689.48,12890.49,15607.92,12769.65,13227.15,9567,8190.67,8639.52,9431.52,8611.12,10716.18,5479.12,7213.93,9327.34,13506.56,9704.9,7944.85,15232,10919.02,10089.76,10618.74,8203.83,5939.89,6561.77,6061.67,11692.37,7926.79
ARHGAP26,438.59,283.49,364.21,254.12,367.44,809.24,669.32,532.99,1003.32,948.35,732.77,329.21,562.8,388.84,892.01,1718.6,634.11,1688.66,334,1792.93,787.8,492.87,474.74,745.43,429.92,737.02,1184.47,669.31,393.6,739.83,415.76,1048.37,524.37,1357.97,2096.12,1300.2,1618.1
ATG4A,52.16,35.15,30.75,22.96,31.88,75.73,69.65,50.55,70.93,17.72,51.38,34.61,18.98,57.23,80.56,54.62,53.82,64.15,97.43,75.03,42.79,45.23,35.91,63.02,112.52,89.41,135.96,55.5,26.33,38.44,32.93,89.32,29.77,73.05,135.19,73.41,62.33
ATP5A1,3281.19,1464.53,1773.53,1170.37,1916.91,1487.93,1816.1,3027.83,2548.58,414.16,3210.63,2554.47,723.3,3034.37,2680.51,2683.18,2526.76,2371.81,2770.34,3119.17,2004.66,1394.42,2560.02,2683.58,2146.24,2881.66,3478.61,1599.85,1319.72,2021.27,1563.68,2208.22,1734.71,2642.9,2557.33,1902.54,3083.46
ATP5C1,1916.25,603.93,1200.52,1070.93,799.49,1054.03,1401.26,1499.16,1033.14,295,1264.62,770.26,336.07,1004.32,1926.38,1647.48,1540.65,1358.18,2110.54,1252.2,880.44,802.19,1304.37,1007.12,1052.82,1535.86,2027.16,1114.19,626.9,1716.55,803.46,1361.78,620.18,1058.16,2840.68,1019.23,1292.82
BCAT1,237.8,1138.46,926.59,1310.24,1031.14,1422.33,3808.39,2643.16,888.93,2003.46,194.03,874.94,618.5,1118.96,304.03,323.03,773.64,327.77,4542.2,274.55,1598.81,662.83,1910.16,696.39,344.3,2152.3,1314.62,386.01,1344.97,296.68,1709.99,1306.71,716.75,4834.92,611.08,2899.95,1604.99
BCAT2,29.91,61.97,47.52,94.13,28.69,81.67,76.67,26.69,41.1,63.78,98.93,71.22,13.62,42.45,107.51,53.12,136.21,186.76,79.63,114.89,45.52,97.27,47.33,55,176.16,31.68,100.3,68.07,42.81,66.82,74.73,82.83,67.3,181.28,150.89,248.25,318.32
C12orf5,244.67,48.17,69.88,51.95,53.4,145.84,75.59,151.08,116.39,46.51,78.61,64.36,22.95,40.27,124.15,77.65,157.83,78.49,286.33,139.3,84.5,54.91,140.2,153.53,80.19,116.24,391.34,79.33,46.55,57.78,145.32,71.08,144.79,183.44,167.28,86.97,181.9
CA12,50.48,2173.25,43.6,1629.83,710.24,56.36,3537.17,375.69,569.58,1651.31,36.04,2642.57,1114.04,556.17,234.82,111.82,357.61,1251.54,855.83,237.65,1726.73,220.94,144.33,813.03,790.78,1186.13,299.74,684.64,2207.52,79.38,478.75,524.97,795.3,647.78,69.64,7958.94,2213.82
CA9,18.13,118.98,18.45,45.55,71.62,33.02,102.22,2.05,118.21,670.63,3.83,56.92,152.25,213.94,392.51,4.07,194.37,55.21,37.01,8.36,98.33,46.02,7.46,24.52,224.79,25.04,2.9,101.49,146.83,3.01,66.72,75.44,69.55,27.89,2.05,201.07,83.46
CAT,322.12,119.21,188.67,92.99,142.39,218.38,231.26,274.07,371.72,164.78,168.72,243.41,128.73,188.17,545.19,155.09,331.6,322.36,372.17,745.91,237.64,255.72,212.65,214.26,357.75,358.93,698.33,384.79,269.04,142.69,156.91,418.63,304.96,241.38,597.43,203.73,223.9
CBR1,21.03,52.96,343.11,68.32,107.32,137.86,312.7,227.11,138.67,115.72,135.17,91.88,20.63,157.99,523.33,252.77,344.35,238.18,221.92,369.94,153.93,177.15,272.81,334.85,308.15,212.04,439.17,422.34,47.09,272.25,252.33,138.52,239.85,236.98,312.8,171,221.69
CBS,107.31,39.21,72.67,40.23,88.62,52.39,58.49,31.82,25.46,8.86,144.18,74.65,18.57,59.88,264.93,115.24,338.48,99.6,141.94,327.69,93.32,314.81,121.72,109.76,34.15,13.28,79.14,91.67,48.8,232.37,278.32,92.23,156.36,217.48,291.89,262.4,289.7
CHKA,60.76,52.51,58.14,44.6,80.12,42.71,49.31,112.91,62.56,34.11,167.95,108.12,47.86,59.31,195.99,97.25,170.64,119.09,117.81,220.43,53.26,79.75,142.24,122.37,35.44,55.95,133.06,83.4,43.02,121.84,162.35,73.2,77.3,118.53,225.32,156.85,174.68
CKB,2536.56,676.27,1809.86,1631.16,2623.54,60.32,734.11,2418.36,109.48,682.14,2182.6,1881.75,39.61,17.81,8041.79,2706.1,5492.25,4975.57,1323.8,7758.2,3364.24,5471.8,6017.52,9721.71,7082.06,4446.39,1611.76,574.88,694.96,5155.92,5449.82,740.33,4679.51,6910.73,857.22,4553.06,4552.29
CPT1A,106.38,152.11,87.21,52.95,198.92,1194.48,320.17,391.09,884.56,125.8,248.48,125.85,90.36,80.91,209.2,473.62,207.37,221.4,247.8,254.62,215.78,180.68,139.9,249.09,369.91,546.19,562.66,176.3,115.79,138.92,106.23,250.06,313.97,347.96,365.97,153.9,189.12
CS,1501.28,257.74,388.96,200.63,323.89,425.49,347.29,764.56,452.49,266.46,1029.44,390.42,130.94,243.09,360.31,481.17,344.51,420.46,657.06,530.38,310.85,323.24,497.9,442.62,542.17,541.67,590.91,263.2,191.89,259.69,405.07,344.06,302.24,454.35,547.61,349.01,446.56
CYCS,577.91,627.59,532.13,382.88,688.56,1288.37,764.43,1008.19,1105.25,135.1,570.86,750.81,232.61,844.2,1107.08,2078.9,1112.44,517.3,1699.84,672.84,597.79,318.67,1405.46,682.01,583.96,752.03,1241.79,633.9,391.68,1053.84,1191.87,882.88,997.57,1597.03,1091.59,685.11,975.37
D2HGDH,91.78,34.01,34.3,24.41,39.41,77.55,85.4,55.52,96.39,29.8,86.1,51.61,36.57,35.75,137.11,74.1,117.45,108.26,90.28,213.47,67.87,112.79,52.99,62.91,114.17,56.55,93.69,82.36,72.87,43.28,76.4,79.37,78.8,80.89,103.81,128.25,129.98
EGLN1,166.39,163.38,56.18,129.43,153.65,150.36,61.37,138.57,237.51,176.29,183.29,324.06,90.98,54.57,209.2,130.67,361.44,223.84,253.42,323.75,174.81,135.44,230.84,210.13,110.97,187.51,305.54,191.01,115.58,81.39,432.94,128.05,113.08,249.68,267.31,204.02,107
ENO1,12496.04,19163.55,11092.03,18353.07,18363.48,22402.35,8183.33,6066.69,16900.55,16845.36,8613.44,15743.57,12381.94,26400.36,8127.1,8897.81,13928.05,13340.1,10814.81,11092.14,11274.76,10734.16,13184.58,6951.97,14169.81,5566.09,7525.39,10649.52,15627.71,9817.95,11352.62,11192.67,9509.37,10999.59,9000.33,9655.68,15710.74
EPAS1,183.03,1464.53,326.19,3584,1968.56,949.24,2268.91,1091.91,613.59,837.17,581.31,1196.72,946.11,530.58,1158.79,1187.57,1172.06,838.78,1054.92,731.64,1884.48,643.74,835.23,857.02,825.96,712.75,1901.93,970.4,861.26,1269.64,985.57,941.81,671.47,1478.83,656.49,2194.12,1231.83
FASN,116.53,34.93,105.98,42.07,58.8,1277.55,52.49,72.49,229.14,49.46,306.12,115.6,14.1,73.59,253.8,168.87,187.48,93.83,219.19,161.14,47.42,134.66,177.99,105.03,169,68.12,68.36,72.05,65.81,247.24,140.3,109.88,297.08,156.88,170.12,145.94,292.02
FBP1,31.03,36.96,29.35,14.99,28.05,140.45,26.82,12.32,84.02,190.47,42.18,13.73,79.63,138.71,14.26,24.63,109.68,90.94,28.57,33.95,37.33,30.33,39.17,38.96,51.22,108.83,267.85,130,32.96,9.29,38.37,49.25,53.04,20.59,52.92,30.07,51.89
FH,159.28,100.96,99.32,62.88,115.04,191.82,136.78,233.95,200.95,91.54,228.03,156.36,34.87,127.53,225.4,161.01,175.92,165.28,288.95,294.64,108.8,106.94,128.56,208.6,403.28,167.33,268.34,175.07,62.43,169.74,227.25,184.84,146.27,218.58,184.24,163.93,219.08
G6PC,0,0,0,0.19,0,0,0.36,0,1.09,2.66,0,0,0,0,0,0.43,0.51,0,0,0,0,0,0,1.37,1.03,0.26,0,0.31,0.43,0,0.86,0.9,0.25,1,0,0,0.27
G6PD,269.58,235.49,318.37,161.12,130.91,477.48,402.6,334.12,366.81,182.05,367.73,273.15,86.85,425.79,379.57,325.38,279.31,386.78,253.19,337.28,176.18,193.23,163.92,268.79,364.99,359.95,442.94,283.91,155.39,113.3,167.22,289.24,300.46,251.67,400.79,242.06,278.2
GAD1,114.41,9.92,101.74,2.66,169.59,13.65,66.23,150.38,64.38,7.97,48.7,30.89,49.1,0.38,36.98,990.29,381.59,166.46,193,439.38,51.21,9.41,8.39,67.83,16.04,42.15,36.82,25.75,68.06,492.88,98.79,7.16,145.6,170.66,235.22,22.41,249.31
GAPDH,25443.38,39261.63,34716.98,44423.93,40491.94,26592.49,36080.61,48457.34,27057.4,31685.49,32363.2,50526.85,26514.99,28730.58,33726.38,29776.75,32558.89,23012.19,40097.53,18480.59,35713.76,28404.09,30077.8,36365.72,33626.97,30307.47,21703.04,17402.13,38162.2,35357.36,35358.39,24330.75,38180.33,23145.32,18827.51,47431.96,32904.76
GCLC,236.12,191.77,214.11,100.39,118.59,405.94,170.97,137.55,331.71,74.42,374.63,199.07,82.52,89.63,337.31,386.86,485.41,283.11,237.03,357.7,160.7,241.08,241.8,378.79,234.36,245.76,787.33,382.95,115.15,221.07,310.39,151.78,186.63,132.15,708.72,165.1,205.97
GCLM,61.69,248.56,71,56.36,65.24,149.48,160.54,141.65,495.02,235.65,110.05,78.37,93.87,48.7,234.03,125.53,102.28,202.18,137.49,125.47,127.47,100.67,121.25,123.05,269.28,240.14,173.35,200.52,116,92.95,130.28,166.33,117.58,108.57,218.83,101.72,144.98
GFPT1,609.46,1339.02,468.19,239.12,426.74,1908.84,796.74,639.23,1257.74,286.59,563.29,619.24,1198.42,836.62,690.99,460.76,1360.31,497.75,1163.6,744.92,383.54,393.51,404.79,360,635.31,848.15,1097.5,1087.21,835.58,785.55,736.45,1010.09,586.41,619.55,871.9,546.61,919.66
GLDC,301.93,126.65,173.58,88.25,169.8,34.34,90.35,253.54,165.49,30.12,315.96,412.16,19.81,4.17,97.47,140.74,557.59,630.64,555.1,356.47,282.48,191.14,146.9,447.07,166.33,596,221.47,94.74,71.91,183.89,304.66,29.1,280.95,689.61,406.93,146.53,404.99
GLS,975.51,749.73,1563.61,428.52,1080.23,2026.61,832.91,1185.32,1642.74,358.79,961.31,862.07,337.72,1892.1,1376.44,2794.57,1339.39,836.34,2275.2,1094.26,818.07,802.98,1375.96,734.2,865.27,1094.16,2113.25,961.2,784,1785.63,1064.88,1553.41,917.14,1506.39,2033.64,1220.6,2021.49
GLUD1,1378.58,430.86,573.01,376.52,484.33,403.74,882.94,759.07,488.84,235.65,2304.54,952.17,188.15,364.59,1639.26,887.47,1323.32,1371.71,1388.21,1189.71,615.49,865.73,659.18,1176.69,906.4,1114.6,939.22,732.17,311.63,1125.94,847.84,531.24,784.05,1006.69,1712.06,729.7,765.85
GLUD2,51.41,14.42,19.01,12.53,14.88,12.77,167.01,35.93,22.55,11.52,94.33,27.46,7.84,14.02,24.83,44.56,64.28,41.14,66.75,67.41,17.3,25.62,28.21,51.79,57.43,34.23,74.21,27.59,10.7,37.68,34.93,22.83,25.27,11.95,63.16,39.21,31.56
GLUL,3238.94,1959.17,1666.47,1613.51,1794.93,1003.18,2370.05,1727.29,1548.9,3727.86,10322.87,1944.96,3305.19,1381.98,1356.1,3577.93,1240.93,2296.83,509.19,1676.81,1839.18,1800.49,1282.69,1460.61,1287.69,1994.42,2211.82,1932.82,1577.62,1280.69,978.41,1825.41,2271.58,1797.24,3293.36,971.17,1396.61
GOT1,51.04,47.1,31.86,32.64,43.57,57.24,51.47,25.66,63.65,21.26,69.79,41.19,30.53,38.47,82.68,117.39,71.17,32.75,72.37,56.09,37.33,18.83,62.49,44.91,49.15,33.21,60.3,37.71,22.69,109.28,32.07,34.48,40.03,45.16,36.19,25.36,35.31
GPI_1,438.03,1212.82,572.73,1015.13,657.53,306.21,765.24,941.27,1305.75,764.09,312.13,599.5,415.08,841.54,577.68,620.13,1058.56,542.68,949.29,453.89,875.89,483.2,626.07,673.01,940.03,465.71,676.88,896.81,667.14,754.4,753.63,530.34,540.88,596.98,529.15,751.23,887.03
GPI_2,563.35,1468.14,593.04,996.66,731.77,418.27,965.85,1023.48,1474.27,898.45,471,770.83,272.32,916.52,755.88,889.68,1647.78,730.34,1166.8,860.22,1322.86,752.16,994.88,939.9,1684.42,606.31,1089.48,1414.46,1260.29,1242.67,1179.7,718.61,728.84,992.2,710.65,1706.08,1612.57
GPT,1.87,2.7,1.12,4.55,0.43,0,1.8,1.03,0,4.43,2.3,0,0.41,0,24.83,6.43,4.59,2.71,0.47,1.97,4.55,1.57,1.4,3.67,14.49,0.51,3.48,1.84,0.43,4.52,0.57,2.91,1,1.33,4.78,4.72,10.16
GSS,149.19,136.34,211.03,96.03,136.44,183.38,180.33,419.06,230.6,100.99,286.82,180.48,31.77,247.29,223.2,221.28,272.16,181.88,404.73,334.08,178.91,118.71,192.83,346.25,395.78,428.42,462.65,264.6,137.19,112.04,174.09,253.64,185.88,349.95,184.01,297.78,308.43
HIF1A,6150.52,3159.37,2048.01,5201.11,2332.39,2585.77,2173.52,7362.87,2630.05,1918.41,3782.74,3561.27,613.34,2954.6,2531.27,1554.94,2576.5,2917.46,1657.1,4780.98,2178.33,1798.92,1169.6,3365.53,2317.49,2758.78,2697.37,1359.78,2232.35,1713.03,3257.92,2528.8,2067.19,3159.53,1764.97,1575.28,2685.42
HK1,977.2,1083.25,831.84,2890.73,1449.16,956.07,2201.42,1351.6,1343.76,1448.44,1140.38,1438.7,633.35,1463.84,969.4,1131.67,1179.21,1224.74,1977.98,938.29,1100.55,718,979.8,1225.27,3116.8,2398.31,1683.36,1281.6,1122.59,1529.39,880.77,985.46,833.08,923.69,1127.6,1264.53,1270.89
HK2,18.32,77.97,27.95,62.25,42.08,59.88,42.29,17.96,61.83,542.61,36.81,199.36,449.95,92.66,124.94,19.28,250.48,80.12,33.26,68.39,41.88,37.13,34.74,38.5,71.14,34.74,25.51,71.74,173.79,6.53,74.45,27.76,45.03,12.95,19.12,27.12,21.93
HK3,16.45,18.48,8.94,6.83,3.19,18.49,15.84,3.08,10.55,111.62,8.44,4,10.73,25.01,5.02,2.14,4.08,11.37,7.03,2.46,10.47,9.41,13.52,6.42,11.9,34.23,8.12,19.62,14.13,0,0.57,34.92,12.01,1.33,6.83,5.31,5.62
